0,A_min,A_avg,A_max,te_min,te_avg,te_max,t_min,t_avg,t_max,tipe
445041159195201536.jpg,0.586056645,0.610801259,0.648569354,0.279453576,0.559587121,1.297717333,0.381559363,0.559000768,1.16707771,haze
444222166028931072.jpg,0.199259259,0.253957879,0.312563544,0,0.825997531,1.215232491,0.009246247,0.825835196,1.12546411,haze
444083807239421952.jpg,0.441176471,0.456656347,0.479876161,0,0.787996352,1.372764826,0.473937186,0.787384888,1.11281239,haze
444253377879236608.jpg,0.734438503,0.769411765,0.804385027,0.115240276,0.656339347,1.229636788,0.151116408,0.655678689,1.193637627,haze
443919120136798209.jpg,0.359448076,0.380285645,0.410239651,0,0.617204428,1.484197378,-0.048214893,0.616906979,1.149476083,haze
444242203599048704.jpg,0.509055258,0.597136067,0.641176471,0.508896112,0.740754485,1.014736772,0.58790166,0.740282105,0.973770905,haze
444651228253802496.jpg,0.691546841,0.774897119,0.828293391,0,0.455296576,1.10869348,0.015686222,0.454819331,1.001100106,haze
444714397265440769.jpg,0.558008154,0.589225393,0.604834013,0.040923744,0.553091824,1.119570017,0.121279178,0.552488268,1.039765542,haze
1118023143820165814_1394831087.jpg,0.990196078,0.990196078,0.990196078,0,0.092836276,0.643056989,-0.068574092,0.09270303,0.617440364,haze
443914641471574018.jpg,0.828664495,0.875570033,0.926384365,0,0.715491593,1.281287193,-0.002454666,0.714903519,1.220228478,haze
443459979115114497.jpg,0.414146696,0.496194626,0.644662309,0.191357553,0.863142133,1.171456337,0.400522381,0.863114856,1.104613549,haze
1101854984843253216_620841236.jpg,0.813691932,0.813691932,0.813691932,0,0.530947626,1.470374346,-0.070093799,0.530312916,1.211647678,haze
441028188093706241.jpg,0.47275236,0.52745098,0.570428468,0.110110432,0.654076278,1.323780179,0.087403063,0.653622365,1.171799061,haze
442481860849848320.jpg,0.672312704,0.700977199,0.74267101,0,0.787117541,1.646587849,-0.010784583,0.786436301,1.320248389,haze
444033040293982209.jpg,0.691546841,0.755361898,0.820479303,0.251183867,0.771085501,1.378136396,0.342533463,0.770634892,1.202764971,haze
441010966818336769.jpg,0.67856356,0.709583609,0.771623706,0.181930006,0.64383173,1.099650502,0.104077082,0.642979102,1.08562844,haze
449189366254936064.jpg,0.36742671,0.448208469,0.523778502,0.233769119,0.659693837,1.170838356,0.308584375,0.659479814,1.118968725,haze
444082213856870401.jpg,0.425696594,0.562435501,0.68498452,0.715936899,0.950893044,1.370725751,0.727019069,0.95076382,1.201145187,haze
1102443686413310962_1405615613.jpg,0.109535452,0.113447433,0.117359413,0,0.502021551,1.137140393,0.035974153,0.501788957,1.041972317,haze
442867981022806017.jpg,0.462091503,0.520338331,0.566935794,0.308454335,0.689610004,1.122958779,0.137298103,0.689089546,1.043371216,haze
444082205166288896.jpg,0.511822803,0.528753328,0.546986202,0.305727839,0.862284899,1.402542114,0.381752592,0.861355856,1.334886074,haze
442454294441123841.jpg,0.207073348,0.248748487,0.293028322,0.15323329,0.729735613,1.266916156,0.167858784,0.730012311,1.155324475,haze
444011372460773376.jpg,0.113304285,0.115908981,0.121118373,0,0.859792471,1.343228459,0.068529943,0.860290996,1.12537513,haze
444252768451047424.jpg,0.759199346,0.764417211,0.770939542,0,0.577174485,1.204006076,0.065620423,0.576612922,1.157837132,haze
444042366983217152.jpg,0,0.009131264,0.027393791,0.377453029,0.919601083,1.382716656,0.436386706,0.919484393,1.247677325,haze
439654312176660480.jpg,0.629016681,0.638132865,0.652458297,0.153307319,0.690667808,1.371452689,0.225435767,0.689871026,1.366078496,haze
443979502356414465.jpg,0.457124183,0.471450012,0.496194626,0.404272497,0.791949332,1.226000547,0.471936055,0.791383192,1.174747315,haze
443108867333820416.jpg,0.132839506,0.145862987,0.171909949,0,0.973771393,1.145348191,0.244045403,0.973731896,1.091443506,haze
442935363493830656.jpg,0.828293391,0.843921569,0.871270879,0,0.434001863,1.330774903,-0.005386354,0.433300822,1.334303531,haze
444978970673434624.jpg,0.562614379,0.605591866,0.644662309,0.150986075,0.66105026,1.08084929,0.095220835,0.660886699,1.029416293,haze
439995175838810112.jpg,0.918877355,0.93041138,0.93810073,0,0.644970775,1.539043069,-0.011775356,0.643949684,1.279923906,haze
443587761526685697.jpg,0.586056645,0.622522392,0.652476398,0.166514874,0.703159392,1.269824028,0.190425648,0.702742442,1.130057586,haze
439641634913783808.jpg,0.629016681,0.638132865,0.652458297,0.153307319,0.690667808,1.371452689,0.225435767,0.689871026,1.366078496,haze
444646952198615040.jpg,0.757966594,0.78140886,0.797037037,0,0.574454427,1.129421473,0.009823492,0.573649319,1.078327461,haze
442644598385418240.jpg,0.523543936,0.640755265,0.78140886,0.436392188,0.889769971,1.390948057,0.50405088,0.889030073,1.315677618,haze
444372550290649088.jpg,0.589963689,0.597777778,0.609498911,0.234978199,0.742098033,1.337667584,0.398112105,0.741537866,1.195233691,haze
